section,title,url,text
General,Getting to Know Your Workouts Dashboard,https://help.macrofactorapp.com/en/articles/275-getting-to-know-your-workouts-dashboard,"The Workouts dashboard gives you an overview of your training activity and progress. It is designed to help you visualize what you’ve completed in your training and let you dive deeper into specifics on muscle groups, exercises, and workouts.

The dashboard is divided into several sections. Each section includes widgets that summarize different types of information you can use to inform your training decisions.

## Weekly Workouts

The Weekly Workouts widget appears at the top of the dashboard and provides a snapshot of your current training cycle.

![](https://staticfiles.gleap.io/gattachments/5AEHsXla0T5r748odC8pygDpE2rZ2X0LuHMmSWelbaI1Vh9K6ZMEwYSby1LTQKE9vme68NP4Q5G.png)

This section shows how much training you’ve completed in three areas:

* **Muscles**: [Muscle groups](https://help.macrofactorapp.com/en/articles/280-muscle-groups) you have trained and how they relate to your weekly targets.
* **Sets**: How many sets you have completed in relation to your weekly targets.
* **Exercises**: How many exercises you have performed in relation to your weekly targets.

Your rings will fill as you log your training, giving you an immediate view of your current progress.

You can also toggle between your current and previous cycles to compare progress.

Lastly, if you swipe left within this widget, you can view your recent records for volume, reps, and estimated 1-RM.

## Recent Records

The Recent Records section shows your recent performances across training sessions in multiple record types.

![](https://staticfiles.gleap.io/gattachments/495FYBcuwC0qCs7K3lsNMuG7zUiWOhRRNB15FxfWozst9DkDf2qT3gvCXvz3ttlydlNlchwvBQL.png)

You can toggle between three record types:

* **Volume**: Total training volume for each exercise
* **Reps**: Highest recent repetition counts
* **Estimated 1-RM**: Recent estimated one-repetition maximum based on logged sets

This does not replace detailed [exercise history](https://help.macrofactorapp.com/en/collections/20-macrofactor-workouts#:~:text=Muscle%20Groups-,Exercises%20Overview,-Track%20Your%20Period) or trained muscle groups, which are available elsewhere in the app.

## Insights & Analytics

The next section of the dashboard is the Insights & Analytics section. The widgets in this section display interpreted training information. You can tap on these widgets to view insights that help you better understand your training. 

![](https://staticfiles.gleap.io/gattachments/2KIkhQJSZfd1SswY2hKbTPEtc6hbDyy2bBC0DvrX0mooVz1VoW4BAqUGiLojJPpkUexFkGCz57n.png)

### Workouts

The [Workouts](https://help.macrofactorapp.com/en/collections/24-workout-logging) widget shows how your sets and volume have changed over time. You can view this data across different time ranges, from a single week to your full training history.

You also get a separation of training volume from external load, bodyweight, or a mix of both. This can make it easier to interpret workload trends, especially if your training includes a lot of bodyweight movements.

Lastly, this section highlights the exercises that contributed the most total volume over the selected period. Each entry shows the exercise name and the total volume accumulated, and tapping an exercise opens its detailed history.

### Weight Trend

The Weight Trend screen helps you understand how your weight is changing over time while cutting through the noise of daily weight fluctuations. You can read more about your weight trend [here](https://help.macrofactorapp.com/en/articles/278-weight-trend).

## Habits

The Habits section shows your consistency with workouts and weigh-ins over time. When you tap this widget, you can view a calendar-style history that highlights completed workouts, streaks, and recent activity. You can select any day to log your weight or mark that you worked out that day. Note that while you can log a workout from this view, you still need to enter the workout details in your workout program or as an additional workout in the workout section of the app if you want it to contribute to your workout analytics. 

## Body Metrics

The [Body Metrics](https://help.macrofactorapp.com/en/collections/27-body-metrics-and-progress-photos) widget allows you to track, monitor, and visualize changes to scale weight, 24 different body measurements, and progress photos from three different angles. You can read more about body metric and progress photo tracking here.

## Muscle Groups

The Muscle Groups section organizes your training data by muscle group rather than by workout or exercise. Each tile shows how many sets or how much volume each muscle group received over the selected time span. This makes it easier to see, at a glance, which muscle groups you train most often and which may be getting overlooked. Over time, this view helps highlight gaps in training coverage and can help you maintain better balance within your training programs.

![](https://staticfiles.gleap.io/gattachments/5LBTULYHYynWcXlojrAmyI3YjHhPXpKRPEW08VFmuO1BNOwI9wLS1N5eLMLrnSs7u4yObK8WkL7.png)

## Exercises

The [Exercises](https://help.macrofactorapp.com/en/collections/25-exercises) section organizes your training data via individual exercises (rather than by workout or muscle group). Each exercise tile shows your recent load, along with a trend line based on your last several workouts.

When you tap an exercise, you can also view several performance metrics, such as total volume, heaviest weight, or total reps. You can also change the time range from short- to long-term trends. Over time, this can help you see whether an exercise is progressing or losing momentum without needing to examine individual workouts.

![](https://staticfiles.gleap.io/gattachments/UBCiGiYRFS11GMOwxgDaGZBxxYDC6bLYJNNrcRYAaMcUGjJhAHN5SzYmJ3fNF6wPckvUkpvslbK.png)

## Steps

The Steps section shows your daily step count over time as pulled from your integrated data source. You can switch between different time ranges along with your average steps for the selected period.

## Period

The Period widget tracks cycle history in a calendar-style view. This makes it easy to see when data was last logged and how your cycle may relate to your training.

## Customize Dashboard

At the bottom of the dashboard, you can customize how your dashboard appears. Tapping Customize Dashboard lets you choose which sections to show or hide. You can adjust the layout to fit what you want to see most often or arrange the order you see it. You can read more about dashboard customization [here](https://help.macrofactorapp.com/en/articles/283-how-to-customize-your-dashboard).

![](https://staticfiles.gleap.io/gattachments/7YtKA9utdnKpyELdSuIf2IiHcvyOgyofSq5Fci51k6tJL4nWN5IIbnWI1lGwpgCQCGRyfacfwiR.png)

## Read next:

Now that you’ve learned about your dashboard, you might enjoy one of these articles next:

[How to Customize Your Dashboard](https://help.macrofactorapp.com/en/articles/283-how-to-customize-your-dashboard)  
[Create a New Program via Smart Generation](https://help.macrofactorapp.com/en/articles/285-create-a-new-program-via-smart-generation)   
[Create a New Program via Build From Scratch](https://help.macrofactorapp.com/en/articles/286-create-a-new-program-via-build-from-scratch)"
General,Understanding the Widgets at the Top of the Workouts Dashboard,https://help.macrofactorapp.com/en/articles/276-understanding-the-widgets-at-the-top-of-the-workouts-dashboard,"The top section of your Workouts dashboard displays your weekly training progress and recent performance for both your current and previous cycles.

This section is made up of two widgets:

**Weekly Workouts**: Shows how your training is progressing toward your weekly targets.  
**Recent Records**: Highlights your recent numbers for volume, reps, and estimated 1-RM.

These widgets help you see whether you are on track for the current week as well as total volume or reps. 

## Weekly Workouts

The Weekly Workouts widget appears at the top of the dashboard and provides a snapshot of your current training cycle.

![](https://staticfiles.gleap.io/gattachments/uBcaEkWo7ogBCqj6MmcAeA4KllxLUSnukp2tvTbFZERjJtjrFPNjabgngb5lT8ud45tMji8Tchs.png)

This section shows how much training you’ve completed in three areas:

* **Muscles**: Muscle groups you have trained and how they relate to your weekly targets.
* **Sets**: How many sets you have completed in relation to your weekly targets.
* **Exercises**: How many exercises you have performed in relation to your weekly targets.

Each ring fills as you log training. The number inside the ring shows how much you have completed so far, and the number below the ring shows the total weekly target for that category. When the ring is full, you have reached that target for the week.

You can toggle between **All Workouts and Active Program** to compare your progress against your weekly targets. **Active Program** reflects the workouts and targets from your currently active plan, while **All Workouts** includes everything you’ve logged. This makes it easier to track progress and see how close you are to completing your planned training for the week.

## Recent Records

The Recent Records section shows your recent performances across training sessions in multiple record types.

![](https://staticfiles.gleap.io/gattachments/xOZ7G2nTWr0PAl6XRh0C3U4F83qIo7zeBF0PEbaFZgGFSyw7xOVVtRAnzMVfC3yPCHyw2p0InYY.png)

You can toggle between three record types:

* **Volume**: Total training volume for each exercise.
* **Reps**: Highest recent repetition counts.
* **Estimated 1-RM**: Recent estimated one-repetition maximum based on logged sets.

These records update when you log workouts and are based on your recent training history within the selected cycle.

There are a few goals of this widget. First, it gives you insight into how your training performance is trending, such as changes in volume, reps, or strength estimates. Second, it reminds you of the work you are putting in by highlighting recent performance stats.

Together, these widgets give you a snapshot of your current progress without needing to deep dive into individual [muscle groups](https://help.macrofactorapp.com/en/articles/280-muscle-groups) or [exercises](https://help.macrofactorapp.com/en/articles/281-exercises-overview). 

## Read next:

Now that you’ve learned about the widgets at the top of your dashboard, you might enjoy one of these articles next:

[How to Customize Your Dashboard](https://help.macrofactorapp.com/en/articles/283-how-to-customize-your-dashboard)  
[Create a New Program via Smart Generation](https://help.macrofactorapp.com/en/articles/285-create-a-new-program-via-smart-generation)   
[Create a New Program via Build From Scratch](https://help.macrofactorapp.com/en/articles/286-create-a-new-program-via-build-from-scratch)"
General,Workout Insights & Analytics,https://help.macrofactorapp.com/en/articles/277-workout-insights-and-analytics,"The Workouts tile under “Insights & Analytics” shows you what your training looks like when you zoom out. This section of the app helps you see how sets, volume, and exercise selection accumulate over time.

![](https://staticfiles.gleap.io/gattachments/ww9pvZU5zu2nO4Tm446zyGfhbyrMzq0AzD07TmsLBSdRRTTPY4n7pstGVM3msmGVQgjHX6rYXjX.png)

## Sets over time

The Sets view shows how many exercise sets you complete over time. This includes total sets per session as well as how those sets accumulate across the selected time range.

Examining your sets over time helps you understand how much training you are actually doing, independent of load. Since sets are a major contributor to training stimulus, this view helps put changes in progress into context. For example, if progress has stalled, this view can help you see whether that period lines up with a drop in total sets or training frequency.

Below the chart, you’ll also see your top exercises by sets for the selected time range. You can tap those exercises to view more detailed breakdowns of your load over time.

![](https://staticfiles.gleap.io/gattachments/wTOhBFSiEjj1HfFC9sfxo7qlvV11rCzDcBO07nkZOwzSYhjfnEfiL3bW9IMNiKDZYl8CLlzlicN.png)

## Volume over time

The Volume view shows how your total training volume changes over time and reflects the overall amount of work you are performing.

![](https://staticfiles.gleap.io/gattachments/szbJHCMxbmPLJhKYPNAHBOW8oRa2JOvLRwg9prHDJ8Rfe7x4PGPi2G8ymgWFrB8tD1CTuTj9ij0.png)

Unlike the Sets view, which treats all sets equally, the Volume view accounts for how heavy those sets are. This makes it useful for understanding changes in workload when training intensity, exercise selection, or loading strategies shift.

The chart also separates volume into two types: resistance-based volume and bodyweight volume. Resistance-based volume reflects work performed with external load, such as barbells, dumbbells, or machines. Bodyweight volume reflects work where your body is the primary load, such as pull-ups, push-ups, or dips.

For context, this can help you identify shifts in training. For example, increasing the number of bodyweight movements in your program may reduce resistance-based volume, even if your overall training effort stays the same.

Overall, this data helps you spot trends so you can make more informed decisions about your programming.

## Read next:

Now that you’ve learned about the workout overview, you might enjoy one of these articles next:

[Exercises Overview](https://help.macrofactorapp.com/en/articles/281-exercises-overview)  
[Create a New Workout](https://help.macrofactorapp.com/en/articles/307-create-a-new-workout)  
[Add or Remove Exercise from a Program](https://help.macrofactorapp.com/en/articles/292-add-or-remove-exercises-from-a-program)"
General,Weight Trend (Workouts),https://help.macrofactorapp.com/en/articles/278-weight-trend-workouts,"Your weight trend can help you understand changes in body weight that are less affected by large swings from transient factors such as total body water, gastrointestinal contents, and other short-term fluctuations. Rather than focusing on individual weigh-ins, Weight Trend helps you understand the overall direction your body weight is moving and the rate at which it is changing over time.

For a deeper explanation of how Weight Trend is calculated and how it informs nutrition targets, see [this Nutrition knowledge base article](https://help.macrofactorapp.com/en/articles/21-weight-trend).

## Scale Weight vs. Weight Trend

Weight Trend is different from scale weight. Weight Trend highlights changes in body weight that are less influenced by daily fluctuations related to water, food intake, and other short-term factors.

To view or edit your raw data, you can go to your Habits tile and log or edit any calendar day to reflect your current or previous weights.

## Weigh-in frequency

The Weight Trend algorithm is resilient to gaps in data. However, you will get the best results if you weigh in consistently. We recommend weighing in daily, or at least three times per week, to produce the most accurate trend.

## Weight Trend considerations for training

Changes in body weight can influence training performance and recovery. Looking at [Weight Trend](https://help.macrofactorapp.com/en/articles/278-weight-trend) alongside your workout data can provide insight into how changes in TDEE may be affecting your progression. For example, if your Weight Trend is decreasing, while your sets and volume are also dropping, and this is paired with slower recovery or increased fatigue during sessions, it *could* indicate that you are in a larger Calorie deficit than is appropriate for your training program (or perhaps your goals). 

In short, while Weight Trend does not provide the full picture on its own, it can be a useful indicator that helps inform training or nutrition decisions based on your goals.

## Read next:

Now that you’ve learned about the Weight Trend feature, you might enjoy one of these articles next:

[Log your Weight](https://help.macrofactorapp.com/en/articles/279-log-your-weight)  
[Interaction with MacroFactor Nutrition Data](https://help.macrofactorapp.com/en/articles/381-how-does-macrofactor-workouts-integrate-with-macrofactor-nutrition)  
[Create a New Program via Build From Scratch](https://help.macrofactorapp.com/en/articles/286-create-a-new-program-via-build-from-scratch)"
General,Log Your Weight,https://help.macrofactorapp.com/en/articles/279-log-your-weight,"You can log your weight in three different ways. 

**Option 1**: 

1. Tap the **+** button near the bottom of the screen, tap **Weight**.
2. Select the date and add your scale weight (you can also add your scale body fat estimate, if that information is available to you).
3. Tap **Save** to log your weight.

**Option 2**: 

1. Go to the **Dashboard** tab.
2. Under the **Habits** section, tap **Weigh-In**.
3. Tap on the calendar day you’d like to edit.
4. Enter your weight.
5. Tap **Save** to log your weight.

**Option 3**:

1. Go to the **Dashboard** tab.
2. Under the **Body Metrics** section, tap **Scale Weight**.
3. Tap the **+** button at the top-right corner of the screen.
4. Select the day you’d like to edit by tapping the date element in the top-middle of the editor page.
5. Enter your weight.
6. Tap **Save** to log your weight.

## Read next:

Now that you’ve learned how to log your weight, you might enjoy one of these articles next:

[Weight Trend](https://help.macrofactorapp.com/en/articles/278-weight-trend)  
[Interaction with MacroFactor Nutrition Data](https://help.macrofactorapp.com/en/articles/381-how-does-macrofactor-workouts-integrate-with-macrofactor-nutrition)  
[Create a New Program via Build From Scratch](https://help.macrofactorapp.com/en/articles/286-create-a-new-program-via-build-from-scratch)"
General,Muscle Groups,https://help.macrofactorapp.com/en/articles/280-muscle-groups,"The Muscle Groups section shows how much you are training each muscle group. You can see how many sets you complete and how much total work each muscle group receives over time. This makes it easier to identify whether certain muscle groups may be receiving too much or too little training.

For example, you might see via the data that your biceps receive more volume than you expected, while your quads receive much less. With this information, you can use the Muscle Groups section to make adjustments to your training program if you’re concerned about having a more balanced program.

![](https://staticfiles.gleap.io/gattachments/mXzx0Kif1dPq1JLkSSWqKwMYNZEhIJMAiJN3ZeymWZOZmnjHY5umUErPnVJkvCBYdr7QVZHQu3s.png)

## Sets over time

The Sets view shows how many sets each muscle group receives over time. It includes sets completed in individual workouts as well as the total number of sets accumulated across the selected time range. Since sets are a major contributor to training stimulus, this view helps put changes in progress into context. For example, if progress has stalled, this view can help you see whether that period lines up with a drop in total sets or training frequency.

Below the chart, you can also view individual training sessions for the selected time range.

## Volume over time

The Volume view shows how the total amount of training volume for each muscle group changes over time. This view reflects the overall amount of work a muscle group is performing.

Unlike the Sets view, the Volume view accounts for how heavy those sets are. This makes it useful for understanding changes in workload when training intensity shifts over time.

The chart also separates volume into two types: resistance-based volume and bodyweight volume. Resistance-based volume reflects work performed with external load, such as barbells, dumbbells, or machines. Bodyweight volume reflects work where your body is the primary load, such as pull-ups, push-ups, or dips. In this context, separating volume types could, for example, help explain why a muscle group’s workload changes even when total sets stay the same.

Overall, this data helps you spot trends so you can make more informed decisions about your training over time.

## Read next:

Now that you’ve learned about muscle groups, you might enjoy one of these articles next:

[Exercise Overview](https://help.macrofactorapp.com/en/articles/281-exercises-overview)  
[Add or Remove Exercises to a Program](https://help.macrofactorapp.com/en/articles/292-add-or-remove-exercises-from-a-program)  
[Understanding Levels](https://help.macrofactorapp.com/en/articles/342-understanding-levels)"
General,Exercises Overview,https://help.macrofactorapp.com/en/articles/281-exercises-overview,"The Exercises section lets you see how individual lifts are progressing over time. Instead of looking at overall workouts or muscle groups, this view focuses on the details of each exercise you perform as well as giving you smart estimations regarding maximal reps and stats on reps, weight, and volume.

![](https://staticfiles.gleap.io/gattachments/7MQm1yiDz5XWVSwX0Pth02UHtjrYVUJOmFoZhRUl7ICtelzbd8bENiZvQbfMK7gdfmu1zWv7L5k.png)

When you tap into an exercise, you can view several different performance and work metrics.

Available views include:

* **1-RM, 3-RM, and 10-RM estimates:** Tracks changes in your estimated strength at different rep ranges.
* **Total volume:** Total amount of weight for that exercise over varying time periods.
* **Best set volume:** Your highest single-set volume you've recorded.
* **Heaviest weight:** Your maximum load for that exercise.
* **Total reps:** Total number of reps you’ve completed over varying time periods.
* **Total sets:** All the sets you have performed to date.

In each of these views you can adjust the time range to see short or longer time periods as well as monthly recaps.

## Read next:

Now that you’ve learned about the exercise overview, you might enjoy one of these articles next:

[Create a New Program via Build From Scratch](https://help.macrofactorapp.com/en/articles/286-create-a-new-program-via-build-from-scratch)  
[Add or Remove Exercises to a Program](https://help.macrofactorapp.com/en/articles/292-add-or-remove-exercises-from-a-program)  
[Setting RIR for All Exercises in Program](https://help.macrofactorapp.com/en/articles/293-setting-rir-for-exercises-in-a-program)"
General,Track Your Period,https://help.macrofactorapp.com/en/articles/282-track-your-period,"1. On the main dashboard, scroll down and tap **Period** (under the General header near the bottom of the page).
2. Tap the day you'd like to edit.
3. Use the toggle beside **Are you on your period?** to indicate that you were on your period during the day you’re editing.
4. Tap **Save**.

You can enable or disable the ability to track your period by tapping **More** > **Data Visibility** > **Period Visibility**, and then toggling **Period Tracking** on or off.

## Read next:

Now that you’ve learned about tracking a period, you might enjoy one of these articles next:

[Log Your Weight](https://help.macrofactorapp.com/en/articles/279-log-your-weight)  
[Workout Overview](https://Workout Insights & Analytics)  
[How to Log Body Measurements](https://help.macrofactorapp.com/en/articles/345-how-to-log-body-measurements)"
General,How to Customize your Workouts Dashboard,https://help.macrofactorapp.com/en/articles/283-how-to-customize-your-workouts-dashboard,"Here, you can ensure your Dashboard displays the data you want to see first when you open the app.

![](https://staticfiles.gleap.io/gattachments/X7vmwUWBGTOenDs9nbwLEGcgwovmmES9MA6tr5BZe4EDmAbI6nT9P3WpwabNZxn3LyGyrFMf18y.png)

**To Customize Your Dashboard**

1. Go to the **More** tab.
2. Under **Feature Settings**, tap **Dashboard**.
3. Use the up and down arrows to move tiles to your preferred location.
4. Tap **Save** in the top-right corner to save your changes.

**Add or Remove Widgets**

1. In the **Customize Dashboard** menu, tap **Add or** **Remove Insights** under each section.
2. Toggle on or off the details you want displayed in your dashboard tiles.
3. Tap **X** or **Done** to go back
4. Tap **Save** in the top-right corner to save your changes.

You can also swipe left on a widget and tap the remove icon to remove it. To return to the original layout, tap **Reset to Original App Defaults** at the bottom of the screen.

## Read next:

Now that you understand how to customize your dashboard, you might enjoy one of these articles next:

[Customizing Workout Sections](https://help.macrofactorapp.com/en/articles/322-customizing-workout-sections)  
[Editing and Arranging Shortcuts](https://help.macrofactorapp.com/en/articles/365-managing-shortcuts)  
[Editing Gym Profiles](https://help.macrofactorapp.com/en/collections/20-macrofactor-workouts#:~:text=Set%20Up%20Your%20Gym%20Profiles)"
General,How to Import your Step Count into Workouts,https://help.macrofactorapp.com/en/articles/284-how-to-import-your-step-count-into-workouts,"You can add steps to your Dashboard in the following ways:

1. Go to the **Dashboard** tab.
2. Under **General**, tap **Steps**.
3. Tap the **+** button in the top-right corner of the screen.
4. Select the date and enter your step count.
5. Tap **Save** to save your changes.

Alternatively, you can add steps using one of our supported integrations.

You can view your step data over time in the graph on this page and switch between predefined date ranges. Additional history is available below the graph in the section showing past dates.

## Read next:

Now that you understand how to import your step count, you might enjoy one of these articles next:

[Integrations](https://help.macrofactorapp.com/en/articles/354-integrations)  
[Export Your Data](https://help.macrofactorapp.com/en/articles/356-export-your-data)  
[Viewing Exercise Performance Over Time](https://help.macrofactorapp.com/en/articles/344-viewing-exercise-performance-over-time)"
